X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,ARREST,LARCENYCODE,CODE_DEFINED,LAT,LONG,OBJECTID
-76.1737229999999,43.067961,2023/04/27 00:00:00+00,2021,2021,1 DESTINY USA DR,,Purse Snatch,LARCENY,43.067961,-76.1737229999999,1
-76.153563,43.0487010000001,2023/09/16 00:00:00+00,2002,2002,0 S CLINTON ST & W FAYETTE ST        ,,All Other,LARCENY,43.0487010000001,-76.153563,2
-76.1737229999999,43.067961,2023/12/01 00:00:00+00,1419,1427,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,3
-76.1366474989999,43.042671,2023/06/10 00:00:00+00,1847,1847,0 S CROUSE AV & E ADAMS ST    ,,Motor Vehicle,MV THEFT,43.042671,-76.1366474989999,4
-76.1737229999999,43.067961,2023/08/24 00:00:00+00,1341,1341,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,5
-76.1737229999999,43.067961,2023/08/24 00:00:00+00,1730,1730,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,6
-76.153545,43.050555,2023/07/29 00:00:00+00,1100,1100,0 S CLINTON ST & W WATER ST        ,,From Motor Vehicle,LARCENY,43.050555,-76.153545,7
-76.1737229999999,43.067961,2023/04/15 00:00:00+00,1040,1045,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,8
-76.152208499,43.04961,2023/08/10 00:00:00+00,0600,708,0 S SALINA ST & E WASHINGTON ST        ,,Purse Snatch,LARCENY,43.04961,-76.152208499,9
-76.1737229999999,43.067961,2023/08/25 00:00:00+00,1434,1434,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,10
-76.1747895,43.033959,2023/09/26 00:00:00+00,0015,15,0 S GEDDES ST & ONONDAGA BLVD    ,,Motor Vehicle,MV THEFT,43.033959,-76.1747895,11
-76.1737229999999,43.067961,2023/08/21 00:00:00+00,1700,1454,1 DESTINY USA DR,,From Motor Vehicle,LARCENY,43.067961,-76.1737229999999,12
-76.1456295,43.0393770000001,2023/05/22 00:00:00+00,2205,2205,0 S TOWNSEND ST & E TAYLOR ST    ,Yes,,ROBBERY,43.0393770000001,-76.1456295,13
-76.1737229999999,43.067961,2023/11/29 00:00:00+00,1530,1536,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,14
-76.1507685,43.0505190000001,2023/03/26 00:00:00+00,0525,530,0 S WARREN ST & E WATER ST        ,Yes,Motor Vehicle,MV THEFT,43.0505190000001,-76.1507685,15
-76.1737229999999,43.067961,2023/04/17 00:00:00+00,1518,1520,1 DESTINY USA DR,,From Building,LARCENY,43.067961,-76.1737229999999,16
-76.1419079999999,43.071327,2023/06/14 00:00:00+00,0028,28,0 SCHILLER AV & HIGHLAND ST        ,,From Motor Vehicle,LARCENY,43.0713270000001,-76.1419079999999,17
-76.1737229999999,43.067961,2023/11/29 00:00:00+00,1441,1450,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,18
-76.1737229999999,43.067961,2023/07/25 00:00:00+00,1959,2030,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,19
-76.1737229999999,43.067961,2023/11/29 00:00:00+00,1005,1005,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,20
-76.16236725,43.0456590000001,2023/11/24 00:00:00+00,0841,843,0 SCHOENECK CT     ,,From Motor Vehicle,LARCENY,43.0456590000001,-76.16236725,21
-76.1737229999999,43.067961,2023/12/01 00:00:00+00,1717,1717,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,22
-76.150840499,43.045488,2023/06/10 00:00:00+00,2100,2300,0 S WARREN ST & MADISON ST        ,Yes,From Motor Vehicle,LARCENY,43.045488,-76.150840499,23
-76.16236725,43.0456590000001,2023/02/02 00:00:00+00,1458,1458,0 SCHOENECK CT     ,,All Other,LARCENY,43.0456590000001,-76.16236725,24
-76.1737229999999,43.067961,2023/08/17 00:00:00+00,0003,3,1 DESTINY USA DR,Yes,From Building,BURGLARY,43.067961,-76.1737229999999,25
-76.16236725,43.0456590000001,2023/07/01 00:00:00+00,2231,2231,0 SCHOENECK CT     ,,,AGGRAVATED ASSAULT,43.0456590000001,-76.16236725,26
-76.161509043,43.0458427410001,2023/08/21 00:00:00+00,1430,1500,0 STONE CT     ,,All Other,LARCENY,43.0458427410001,-76.161509043,27
-76.1737229999999,43.067961,2023/04/16 00:00:00+00,1341,1341,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,28
-76.115506763,43.0647348370001,2023/09/03 00:00:00+00,0100,800,0 SHOTWELL PARK   ,,From Mailbox,LARCENY,43.0647348370001,-76.115506763,29
-76.1737229999999,43.067961,2023/12/01 00:00:00+00,1150,1150,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,30
-76.1737229999999,43.067961,2023/06/14 00:00:00+00,1540,1540,1 DESTINY USA DR,,Shoplifting,LARCENY,43.067961,-76.1737229999999,31
-76.1737229999999,43.067961,2023/08/18 00:00:00+00,1525,1540,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,32
-76.1737229999999,43.067961,2023/08/18 00:00:00+00,1930,1930,1 DESTINY USA DR,Yes,Shoplifting,LARCENY,43.067961,-76.1737229999999,33
-76.173880501,43.0291080000001,2023/05/30 00:00:00+00,1200,830,0 STINARD AV & GORDON AV    ,,Motor Vehicle,MV THEFT,43.0291080000001,-76.173880501,34
